,Rstart,L1,Rend,L2,delta L,T,random,Expo,Accept?
0,"[14, 20, 29, 19, 15, 17, 16, 24, 12, 7, 25, 9, 23, 28, 5, 6, 27, 1, 26, 13, 18, 30, 22, 3, 8, 10, 4, 11, 21, 2]",1792.5721484949997,"[14, 20, 29, 19, 15, 17, 16, 24, 12, 7, 25, 9, 23, 28, 21, 6, 27, 1, 26, 13, 18, 30, 22, 3, 8, 10, 4, 11, 5, 2]",1704.679012315,-87.89313617999983,20.0,--,--,Yes
1,"[14, 20, 29, 19, 15, 17, 16, 24, 12, 7, 25, 9, 23, 28, 21, 6, 27, 1, 26, 13, 18, 30, 22, 3, 8, 10, 4, 11, 5, 2]",1704.679012315,"[14, 20, 29, 19, 15, 17, 16, 24, 12, 7, 25, 27, 23, 28, 21, 6, 9, 1, 26, 13, 18, 30, 22, 3, 8, 10, 4, 11, 5, 2]",1726.785754065,22.106741750000083,19.8,0.5722832491857608,0.7998745135204444,Yes
2,"[14, 20, 29, 19, 15, 17, 16, 24, 12, 7, 25, 27, 23, 28, 21, 6, 9, 1, 26, 13, 18, 30, 22, 3, 8, 10, 4, 11, 5, 2]",1726.785754065,"[14, 20, 29, 19, 15, 17, 16, 24, 12, 7, 25, 27, 23, 28, 21, 6, 9, 1, 26, 13, 18, 11, 22, 3, 8, 10, 4, 30, 5, 2]",1755.338331055,28.552576990000034,19.602,0.2483955924110437,0.7472741950288545,Yes
3,"[14, 20, 29, 19, 15, 17, 16, 24, 12, 7, 25, 27, 23, 28, 21, 6, 9, 1, 26, 13, 18, 11, 22, 3, 8, 10, 4, 30, 5, 2]",1755.338331055,"[16, 23, 24, 5, 28, 1, 3, 9, 8, 15, 26, 4, 30, 6, 25, 11, 12, 14, 10, 7, 19, 20, 21, 2, 29, 17, 22, 27, 18, 13]",2405.159437835,649.82110678,19.40598,0.33323965134306066,0.00123445920295697,No
4,"[14, 20, 29, 19, 15, 17, 16, 24, 12, 7, 25, 27, 23, 28, 21, 6, 9, 1, 26, 13, 18, 11, 22, 3, 8, 10, 4, 30, 5, 2]",1755.338331055,"[14, 20, 29, 19, 15, 17, 16, 24, 12, 7, 25, 27, 23, 28, 21, 6, 9, 1, 26, 13, 18, 10, 22, 3, 8, 11, 4, 30, 5, 2]",1710.5038532249998,-44.834477830000196,19.211920199999998,--,--,Yes
5,"[14, 20, 29, 19, 15, 17, 16, 24, 12, 7, 25, 27, 23, 28, 21, 6, 9, 1, 26, 13, 18, 10, 22, 3, 8, 11, 4, 30, 5, 2]",1710.5038532249998,"[13, 2, 3, 15, 23, 11, 14, 28, 19, 1, 6, 22, 4, 10, 12, 16, 8, 18, 29, 24, 9, 17, 26, 7, 5, 27, 25, 30, 20, 21]",2103.957958039,393.4541048140002,19.019800997999997,0.28874909752820754,0.01596573484061811,No
6,"[14, 20, 29, 19, 15, 17, 16, 24, 12, 7, 25, 27, 23, 28, 21, 6, 9, 1, 26, 13, 18, 10, 22, 3, 8, 11, 4, 30, 5, 2]",1710.5038532249998,"[14, 20, 29, 19, 15, 17, 3, 24, 12, 7, 25, 27, 23, 28, 21, 6, 9, 1, 26, 13, 18, 10, 22, 16, 8, 11, 4, 30, 5, 2]",1820.705634075,110.2017808500002,18.829602988019996,0.901030136167039,0.3102067574714191,No
7,"[14, 20, 29, 19, 15, 17, 16, 24, 12, 7, 25, 27, 23, 28, 21, 6, 9, 1, 26, 13, 18, 10, 22, 3, 8, 11, 4, 30, 5, 2]",1710.5038532249998,"[14, 20, 3, 19, 15, 17, 16, 24, 12, 7, 25, 27, 23, 28, 21, 6, 9, 1, 26, 13, 18, 10, 22, 29, 8, 11, 4, 30, 5, 2]",1966.812057925,256.30820470000026,18.641306958139797,0.49113696353879277,0.06393455977743827,No
8,"[14, 20, 29, 19, 15, 17, 16, 24, 12, 7, 25, 27, 23, 28, 21, 6, 9, 1, 26, 13, 18, 10, 22, 3, 8, 11, 4, 30, 5, 2]",1710.5038532249998,"[14, 20, 29, 19, 15, 17, 16, 24, 12, 7, 25, 27, 23, 28, 21, 6, 9, 1, 26, 22, 18, 10, 13, 3, 8, 11, 4, 30, 5, 2]",1737.422578525,26.918725300000233,18.4548938885584,0.8367741671489692,0.7469742841603313,No
9,"[14, 20, 29, 19, 15, 17, 16, 24, 12, 7, 25, 27, 23, 28, 21, 6, 9, 1, 26, 13, 18, 10, 22, 3, 8, 11, 4, 30, 5, 2]",1710.5038532249998,"[14, 20, 29, 19, 15, 17, 16, 27, 12, 7, 25, 24, 23, 28, 21, 6, 9, 1, 26, 13, 18, 10, 22, 3, 8, 11, 4, 30, 5, 2]",1788.02533095,77.52147772500007,18.270344949672815,0.7336404839124036,0.4280118385580427,No
